Book; 1001;Benjamin C. Pierce ; Types and Programming Languages;  2002
Journal; 100001; Хакер;  ;№9; сентябрь 2015
Journal; 100002; Хакер;  ;№11; ноябрь 2015
Book; 1002; Eric S. Raymond; The Art of Unix Programming;   2008
Book; 1003;George Bernard Dantzig;Theory and extensions; 2005
Book; 1004;Herb Schildt; Java: A Beginner's Guide, Sixth Edition;    2014
Book; 1005;Herb Schildt; C# 4.0 The Complete Reference ;  2013
Book; 1006; Herb Schildt; C# A Beginner's Guide;  2004
Journal; 100003; Мир ПК; ; №11; ноябрь 2015
Journal; 100004; Journal of Computer Science; Vol15;  No10; October 30, 2015
